outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Blocked,Left Foot,Normal,Open Play,"[97.0, 47.0]",Josh Risdon,0.045015,Australia
Off T,Left Foot,Normal,Open Play,"[96.0, 53.0]",Gylfi Þór Sigurðsson,0.0150878,Iceland
Off T,Left Foot,Volley,Open Play,"[111.0, 43.0]",Nicolás Hernán Otamendi,0.112899,Argentina
Off T,Head,Diving Header,Open Play,"[105.0, 45.0]",Nicolás Alejandro Tagliafico,0.0166196,Argentina
Off T,Right Foot,Half Volley,Open Play,"[115.0, 57.0]",Alfreð Finnbogason,0.0510493,Iceland
Blocked,Left Foot,Normal,Open Play,"[100.0, 54.0]",Johann Berg Guðmunds­son,0.0286819,Iceland
Off T,Right Foot,Normal,Open Play,"[107.0, 32.0]",Birkir Bjarnason,0.165544,Iceland
Off T,Right Foot,Normal,Open Play,"[86.0, 50.0]",Nicolás Hernán Otamendi,0.0302926,Argentina
Saved,Left Foot,Normal,Open Play,"[97.0, 49.0]",Lionel Andrés Messi Cuccittini,0.0406308,Argentina
Blocked,Left Foot,Normal,Open Play,"[90.0, 23.0]",Faustino Marcos Alberto Rojo,0.0180397,Argentina
Goal,Left Foot,Normal,Open Play,"[106.0, 37.0]",Sergio Leonel Agüero del Castillo,0.0532213,Argentina
Saved,Left Foot,Normal,Open Play,"[96.0, 26.0]",Lionel Andrés Messi Cuccittini,0.0193064,Argentina
Wayward,Other,Normal,Open Play,"[114.0, 40.0]",Alfreð Finnbogason,0.288335,Iceland
Goal,Right Foot,Normal,Open Play,"[113.0, 39.0]",Alfreð Finnbogason,0.251154,Iceland
Blocked,Head,Normal,Open Play,"[111.0, 34.0]",Nicolás Alejandro Tagliafico,0.0286177,Argentina
Saved,Head,Normal,Open Play,"[109.0, 35.0]",Nicolás Hernán Otamendi,0.0322756,Argentina
Off T,Right Foot,Normal,Open Play,"[95.0, 31.0]",Lucas Rodrigo Biglia,0.0189663,Argentina
Blocked,Left Foot,Normal,Open Play,"[111.0, 22.0]",Lionel Andrés Messi Cuccittini,0.0274234,Argentina
Off T,Head,Normal,Open Play,"[116.0, 48.0]",Lucas Rodrigo Biglia,0.0583584,Argentina
Saved,Right Foot,Normal,Open Play,"[111.0, 26.0]",Gylfi Þór Sigurðsson,0.0366817,Iceland
Off T,Right Foot,Volley,Open Play,"[102.0, 29.0]",Gylfi Þór Sigurðsson,0.0393521,Iceland
Off T,Head,Normal,Open Play,"[113.0, 44.0]",Nicolás Hernán Otamendi,0.0639218,Argentina
Blocked,Right Foot,Normal,Open Play,"[118.0, 24.0]",Gylfi Þór Sigurðsson,0.0324961,Iceland
Blocked,Right Foot,Normal,Open Play,"[111.0, 49.0]",Sergio Leonel Agüero del Castillo,0.0556126,Argentina
Blocked,Right Foot,Normal,Open Play,"[107.0, 55.0]",Sergio Leonel Agüero del Castillo,0.0418865,Argentina
