outcome,body_part,technique,play_type,shot_location_start,player,statsbomb_xg,team
Off T,Left Foot,Normal,Open Play,"[93.0, 43.0]",Naïm Sliti,0.0236608,Tunisia
Off T,Right Foot,Normal,Free Kick,"[96.0, 34.0]",Ashley Young,0.0913196,England
Goal,Head,Normal,Open Play,"[116.0, 36.0]",Harry Kane,0.31551,England
Blocked,Right Foot,Half Volley,Open Play,"[85.0, 51.0]",Mikael Lustig,0.0128221,Sweden
Saved,Left Foot,Normal,Open Play,"[113.0, 38.0]",Marcus Berg,0.467012,Sweden
Off T,Head,Normal,Open Play,"[109.0, 39.0]",Pontus Jansson,0.042984,Sweden
Blocked,Head,Normal,Open Play,"[111.0, 32.0]",Andreas Granqvist,0.0277544,Sweden
Blocked,Left Foot,Normal,Open Play,"[112.0, 34.0]",Marcus Berg,0.133169,Sweden
Blocked,Left Foot,Normal,Open Play,"[106.0, 56.0]",Jae-Sung Lee,0.0371908,South Korea
Blocked,Right Foot,Normal,Open Play,"[90.0, 24.0]",Emil Forsberg,0.0210491,Sweden
Wayward,Right Foot,Half Volley,Open Play,"[118.0, 29.0]",Marcus Berg,0.054793,Sweden
Blocked,Right Foot,Half Volley,Open Play,"[94.0, 29.0]",Emil Forsberg,0.0171796,Sweden
Saved,Right Foot,Normal,Open Play,"[104.0, 28.0]",Andreas Granqvist,0.0646003,Sweden
Blocked,Head,Normal,Open Play,"[111.0, 38.0]",Viktor Claesson,0.0562894,Sweden
Off T,Right Foot,Normal,Open Play,"[99.0, 37.0]",Emil Forsberg,0.0644819,Sweden
Off T,Head,Normal,Open Play,"[107.0, 30.0]",Ja-Cheol Koo,0.0397585,South Korea
Saved,Head,Normal,Open Play,"[113.0, 37.0]",Ola Toivonen,0.0782074,Sweden
Blocked,Right Foot,Normal,Open Play,"[97.0, 25.0]",Min-Woo Kim,0.0260591,South Korea
Goal,Right Foot,Normal,Penalty,"[109.0, 41.0]",Andreas Granqvist,0.76,Sweden
Blocked,Right Foot,Normal,Open Play,"[83.0, 47.0]",Sebastian Larsson,0.0137547,Sweden
Blocked,Right Foot,Normal,Open Play,"[98.0, 33.0]",Emil Forsberg,0.0342221,Sweden
Wayward,Right Foot,Half Volley,Open Play,"[99.0, 48.0]",Viktor Claesson,0.0549443,Sweden
Blocked,Left Foot,Normal,Open Play,"[100.0, 56.0]",Seung-Woo Lee,0.0231514,South Korea
Off T,Head,Normal,Open Play,"[110.0, 38.0]",Hee-Chan Hwang,0.110551,South Korea
Off T,Right Foot,Normal,Free Kick,"[84.0, 34.0]",Salif Sané,0.0258924,Senegal
Blocked,Left Foot,Half Volley,Open Play,"[95.0, 35.0]",Piotr Zieliński,0.0254566,Poland
Off T,Head,Diving Header,Open Play,"[111.0, 49.0]",Kamil Grosicki,0.152158,Poland
Off T,Left Foot,Volley,Open Play,"[101.0, 46.0]",Robert Lewandowski,0.0422233,Poland
Blocked,Right Foot,Normal,Open Play,"[99.0, 48.0]",Idrissa Gana Gueye,0.0489699,Senegal
Off T,Head,Normal,Open Play,"[114.0, 43.0]",Salif Sané,0.115712,Senegal
Blocked,Right Foot,Normal,Open Play,"[98.0, 62.0]",Idrissa Gana Gueye,0.0130212,Senegal
Saved,Right Foot,Normal,Free Kick,"[96.0, 47.0]",Robert Lewandowski,0.0625906,Poland
Blocked,Left Foot,Volley,Open Play,"[109.0, 35.0]",Sadio Mané,0.113445,Senegal
Wayward,Right Foot,Half Volley,Open Play,"[108.0, 40.0]",Mame Biram Diouf,0.0812424,Senegal
Off T,Right Foot,Volley,Open Play,"[113.0, 53.0]",Łukasz Piszczek,0.0583922,Poland
Goal,Right Foot,Normal,Open Play,"[113.0, 40.0]","M""Baye Babacar Niang",0.885008,Senegal
Blocked,Right Foot,Normal,Open Play,"[92.0, 46.0]",Kamil Grosicki,0.0192577,Poland
Off T,Left Foot,Normal,Open Play,"[116.0, 46.0]",Arkadiusz Milik,0.134651,Poland
Saved,Head,Normal,Open Play,"[111.0, 45.0]",Dawid Kownacki,0.0522797,Poland
Goal,Head,Diving Header,Open Play,"[114.0, 39.0]",Grzegorz Krychowiak,0.176002,Poland
Wayward,Left Foot,Half Volley,Open Play,"[88.0, 38.0]",Kamil Grosicki,0.00885517,Poland
Blocked,Left Foot,Normal,Open Play,"[100.0, 22.0]",Roman Zobnin,0.0205784,Russia
Saved,Head,Normal,Open Play,"[110.0, 38.0]",Sergei Ignashevich,0.07339535,Russia
Off T,Right Foot,Normal,Open Play,"[96.0, 37.0]",Aleksandr Golovin,0.044442162,Russia
Blocked,Left Foot,Normal,Open Play,"[99.0, 48.0]",Denis Cheryshev,0.04589149,Russia
Blocked,Head,Normal,Open Play,"[116.0, 33.0]",Marwan Mohsen,0.07618592,Egypt
Off T,Right Foot,Normal,Open Play,"[105.0, 24.0]",Mahmoud Ibrahim Hassan,0.024369398,Egypt
Off T,Right Foot,Normal,Open Play,"[92.0, 34.0]",Denis Cheryshev,0.012174712,Russia
Off T,Right Foot,Normal,Open Play,"[89.0, 32.0]",Yury Gazinskiy,0.011685848,Russia
Blocked,Right Foot,Normal,Open Play,"[99.0, 28.0]",Mahmoud Ibrahim Hassan,0.036212448,Egypt
Wayward,Head,Normal,Open Play,"[117.0, 25.0]",Marwan Mohsen,0.017194493,Egypt
Off T,Head,Normal,Open Play,"[113.0, 34.0]",Marwan Mohsen,0.03782415,Egypt
Wayward,Left Foot,Normal,Open Play,"[90.0, 39.0]",Denis Cheryshev,0.015905555,Russia
Saved,Head,Normal,Open Play,"[107.0, 41.0]",Marwan Mohsen,0.03251397,Egypt
Off T,Head,Normal,Open Play,"[113.0, 47.0]",Artem Dzyuba,0.02356399,Russia
Off T,Left Foot,Normal,Open Play,"[104.0, 46.0]",Mohamed Salah,0.08883187,Egypt
Blocked,Right Foot,Normal,Open Play,"[97.0, 55.0]",Roman Zobnin,0.030262688,Russia
Blocked,Left Foot,Normal,Open Play,"[107.0, 33.0]",Mohamed Salah,0.106357574,Egypt
Goal,Left Foot,Normal,Open Play,"[111.0, 47.0]",Denis Cheryshev,0.15682903,Russia
Goal,Right Foot,Normal,Open Play,"[108.0, 44.0]",Artem Dzyuba,0.14703985,Russia
Off T,Head,Normal,Open Play,"[107.0, 49.0]",Ali Gabr,0.017314052,Egypt
Off T,Right Foot,Normal,Open Play,"[101.0, 40.0]",Mahmoud Ibrahim Hassan,0.091689214,Egypt
Off T,Right Foot,Normal,Open Play,"[90.0, 34.0]",Abdalla Mahmoud El Said Bekhit,0.0146644255,Egypt
Goal,Left Foot,Normal,Penalty,"[108.0, 40.0]",Mohamed Salah,0.76,Egypt
Saved,Head,Diving Header,Open Play,"[117.0, 34.0]",Sergei Ignashevich,0.14376074,Russia
Blocked,Left Foot,Half Volley,Open Play,"[102.0, 38.0]",Mohamed Salah,0.076041706,Egypt
Off T,Left Foot,Normal,Open Play,"[102.0, 59.0]",Amr Medhat Warda,0.041191403,Egypt
Blocked,Right Foot,Normal,Open Play,"[93.0, 50.0]",Tarek Hamed,0.020506995,Egypt
Saved,Left Foot,Normal,Open Play,"[104.0, 48.0]",Yūya Ōsako,0.321079,Japan
Blocked,Left Foot,Half Volley,Open Play,"[103.0, 39.0]",Shinji Kagawa,0.26664,Japan
Goal,Right Foot,Normal,Penalty,"[108.0, 40.0]",Shinji Kagawa,0.76,Japan
Saved,Left Foot,Volley,Open Play,"[112.0, 43.0]",Radamel Falcao García Zárate,0.294614,Colombia
Off T,Right Foot,Normal,Open Play,"[108.0, 30.0]",Takashi Inui,0.201676,Japan
Blocked,Left Foot,Normal,Open Play,"[93.0, 49.0]",Juan Fernando Quintero Paniagua,0.0407065,Colombia
Wayward,Head,Normal,Open Play,"[110.0, 34.0]",Oscar Fabián Murillo Murillo,0.0460792,Colombia
Blocked,Right Foot,Normal,Open Play,"[101.0, 60.0]",Juan Guillermo Cuadrado Bello,0.0175211,Colombia
Wayward,Right Foot,Normal,Open Play,"[112.0, 26.0]",Yūya Ōsako,0.0613848,Japan
Saved,Right Foot,Volley,Open Play,"[109.0, 45.0]",Radamel Falcao García Zárate,0.172442,Colombia
Goal,Left Foot,Normal,Free Kick,"[100.0, 60.0]",Juan Fernando Quintero Paniagua,0.0331842,Colombia
Saved,Left Foot,Normal,Open Play,"[117.0, 30.0]",Yūya Ōsako,0.102855,Japan
Saved,Right Foot,Normal,Open Play,"[106.0, 28.0]",Takashi Inui,0.0440681,Japan
Off T,Head,Normal,Open Play,"[113.0, 39.0]",Maya Yoshida,0.0829954,Japan
Off T,Right Foot,Half Volley,Open Play,"[110.0, 57.0]",Hiroki Sakai,0.022547,Japan
Blocked,Right Foot,Normal,Open Play,"[105.0, 25.0]",Takashi Inui,0.0358172,Japan
Saved,Left Foot,Normal,Open Play,"[96.0, 60.0]",Keisuke Honda,0.0123057,Japan
Blocked,Right Foot,Normal,Open Play,"[114.0, 49.0]",Hiroki Sakai,0.0911572,Japan
Goal,Head,Normal,Open Play,"[117.0, 39.0]",Yūya Ōsako,0.209779,Japan
Blocked,Left Foot,Normal,Open Play,"[112.0, 54.0]",James David Rodríguez Rubio,0.0412096,Colombia
Wayward,Other,Normal,Open Play,"[113.0, 47.0]",Jefferson Andrés Lerma Solís,0.0314825,Colombia
Blocked,Right Foot,Normal,Open Play,"[109.0, 31.0]",Carlos Arturo Bacca Ahumada,0.0507341,Colombia
Wayward,Head,Normal,Open Play,"[111.0, 42.0]",Oscar Fabián Murillo Murillo,0.0730397,Colombia
Wayward,Head,Normal,Open Play,"[108.0, 43.0]",Yūya Ōsako,0.0927222,Japan
Off T,Head,Normal,Open Play,"[109.0, 30.0]",Khalid Boutaïb,0.0291317,Morocco
Blocked,Left Foot,Volley,Open Play,"[91.0, 39.0]",Raphaël Adelino José Guerreiro,0.015757,Portugal
Goal,Head,Normal,Open Play,"[115.0, 41.0]",Cristiano Ronaldo dos Santos Aveiro,0.20038,Portugal
Off T,Right Foot,Normal,Open Play,"[108.0, 56.0]",Cristiano Ronaldo dos Santos Aveiro,0.0278515,Portugal
Saved,Head,Normal,Open Play,"[114.0, 33.0]",Medhi Amine El Mouttaqi Benatia,0.0606447,Morocco
Off T,Head,Normal,Open Play,"[109.0, 45.0]",Manuel Marouan da Costa Trinidade,0.0363147,Morocco
Blocked,Left Foot,Normal,Open Play,"[109.0, 26.0]",Hakim Ziyech,0.0683156,Morocco
Saved,Right Foot,Normal,Open Play,"[92.0, 25.0]",Hakim Ziyech,0.015138,Morocco
Wayward,Head,Normal,Open Play,"[108.0, 44.0]",Khalid Boutaïb,0.0967917,Morocco
Blocked,Right Foot,Normal,Free Kick,"[100.0, 34.0]",Cristiano Ronaldo dos Santos Aveiro,0.107389,Portugal
Off T,Right Foot,Normal,Open Play,"[87.0, 28.0]",Karim El Ahmadi Al Aroos,0.0184556,Morocco
Saved,Right Foot,Volley,Open Play,"[109.0, 34.0]",Gonçalo Manuel Ganchinho Guedes,0.176231,Portugal
Off T,Head,Normal,Open Play,"[112.0, 41.0]",Younès Belhanda,0.0930525,Morocco
Off T,Head,Normal,Open Play,"[111.0, 42.0]",José Miguel da Rocha Fonte,0.0546742,Portugal
Wayward,Right Foot,Normal,Open Play,"[107.0, 31.0]",Gonçalo Manuel Ganchinho Guedes,0.0874924,Portugal
Off T,Right Foot,Normal,Open Play,"[103.0, 53.0]",Cristiano Ronaldo dos Santos Aveiro,0.0389093,Portugal
Saved,Right Foot,Normal,Open Play,"[105.0, 57.0]",Younès Belhanda,0.0221608,Morocco
Saved,Head,Normal,Open Play,"[112.0, 50.0]",Younès Belhanda,0.0290455,Morocco
Off T,Left Foot,Normal,Open Play,"[107.0, 42.0]",Medhi Amine El Mouttaqi Benatia,0.059341,Morocco
Wayward,Head,Normal,Open Play,"[113.0, 34.0]",Mbark Boussoufa,0.0511111,Morocco
Off T,Left Foot,Normal,Free Kick,"[96.0, 54.0]",Hakim Ziyech,0.0572654,Morocco
Blocked,Right Foot,Normal,Open Play,"[93.0, 17.0]",Cristiano Ronaldo dos Santos Aveiro,0.0143091,Portugal
Off T,Other,Normal,Open Play,"[113.0, 47.0]",Medhi Amine El Mouttaqi Benatia,0.187417,Morocco
Off T,Right Foot,Normal,Open Play,"[86.0, 54.0]",Nabil Dirar,0.00658412,Morocco
Off T,Right Foot,Normal,Open Play,"[97.0, 52.0]",Bruno Miguel Borges Fernandes,0.0243251,Portugal
Blocked,Right Foot,Normal,Free Kick,"[102.0, 31.0]",Cristiano Ronaldo dos Santos Aveiro,0.107662,Portugal
Blocked,Left Foot,Normal,Open Play,"[112.0, 50.0]",Hakim Ziyech,0.0894334,Morocco
Off T,Left Foot,Normal,Open Play,"[111.0, 38.0]",Medhi Amine El Mouttaqi Benatia,0.0611126,Morocco
Off T,Right Foot,Normal,Open Play,"[90.0, 21.0]",Bruno Miguel Borges Fernandes,0.0144372,Portugal
Off T,Right Foot,Half Volley,Open Play,"[101.0, 62.0]",Daniel Carvajal Ramos,0.0206767,Spain
Off T,Left Foot,Volley,Open Play,"[95.0, 26.0]",Vahid Amiri,0.0163824,Iran
Wayward,Head,Normal,Open Play,"[114.0, 45.0]",Diego da Silva Costa,0.0514579,Spain
Off T,Left Foot,Normal,Open Play,"[93.0, 37.0]",Karim Ansarifard,0.0185616,Iran
Blocked,Left Foot,Normal,Open Play,"[97.0, 48.0]",David Josué Jiménez Silva,0.032057,Spain
Blocked,Right Foot,Normal,Free Kick,"[88.0, 34.0]",Sergio Ramos García,0.0182488,Spain
Saved,Left Foot,Normal,Free Kick,"[95.0, 49.0]",David Josué Jiménez Silva,0.0500807,Spain
Off T,Left Foot,Normal,Open Play,"[113.0, 40.0]",David Josué Jiménez Silva,0.157048,Spain
Off T,Right Foot,Normal,Open Play,"[98.0, 61.0]",Francisco Román Alarcón Suárez,0.0149028,Spain
Blocked,Left Foot,Normal,Open Play,"[113.0, 36.0]",David Josué Jiménez Silva,0.115017,Spain
Blocked,Right Foot,Normal,Open Play,"[96.0, 29.0]",Francisco Román Alarcón Suárez,0.0239644,Spain
Blocked,Left Foot,Normal,Open Play,"[104.0, 48.0]",David Josué Jiménez Silva,0.0471157,Spain
Blocked,Right Foot,Normal,Open Play,"[114.0, 41.0]",Gerard Piqué Bernabéu,0.253546,Spain
Saved,Right Foot,Normal,Open Play,"[96.0, 43.0]",Sergio Busquets i Burgos,0.0349145,Spain
Wayward,Left Foot,Normal,Open Play,"[113.0, 31.0]",Diego da Silva Costa,0.0799626,Spain
Off T,Right Foot,Normal,Open Play,"[105.0, 51.0]",Francisco Román Alarcón Suárez,0.0632412,Spain
Off T,Right Foot,Normal,Open Play,"[104.0, 28.0]",Karim Ansarifard,0.0252462,Iran
Goal,Right Foot,Normal,Open Play,"[107.0, 36.0]",Diego da Silva Costa,0.231288,Spain
Off T,Head,Normal,Open Play,"[112.0, 39.0]",Mehdi Taremi,0.0534828,Iran
Blocked,Right Foot,Normal,Open Play,"[109.0, 46.0]",Sergio Ramos García,0.0980217,Spain
Blocked,Left Foot,Normal,Open Play,"[118.0, 39.0]",Gerard Piqué Bernabéu,0.636862,Spain
Blocked,Right Foot,Normal,Free Kick,"[99.0, 56.0]",Francisco Román Alarcón Suárez,0.0504247,Spain
Off T,Head,Normal,Open Play,"[117.0, 47.0]",Mehdi Taremi,0.0718063,Iran
Wayward,Head,Normal,Open Play,"[109.0, 37.0]",Sardar Azmoun,0.0637527,Iran
Blocked,Left Foot,Half Volley,Open Play,"[101.0, 30.0]",Luis Alberto Suárez Díaz,0.0500662,Uruguay
Blocked,Right Foot,Normal,Free Kick,"[93.0, 31.0]",Mohammed Al Burayk,0.0499396,Saudi Arabia
Off T,Left Foot,Half Volley,Open Play,"[110.0, 34.0]",Edinson Roberto Cavani Gómez,0.106952,Uruguay
Off T,Right Foot,Half Volley,Open Play,"[119.0, 53.0]",Luis Alberto Suárez Díaz,0.028931,Uruguay
Off T,Right Foot,Normal,Open Play,"[111.0, 57.0]",Fahad Mosaed Al Muwallad Al Harbi,0.0319675,Saudi Arabia
Goal,Left Foot,Volley,Open Play,"[114.0, 43.0]",Luis Alberto Suárez Díaz,0.421709,Uruguay
Blocked,Right Foot,Normal,Open Play,"[110.0, 52.0]",Edinson Roberto Cavani Gómez,0.0940978,Uruguay
Saved,Left Foot,Normal,Open Play,"[96.0, 58.0]",Hattan Babhir,0.0199101,Saudi Arabia
Off T,Right Foot,Normal,Open Play,"[112.0, 49.0]",Hattan Babhir,0.0674923,Saudi Arabia
Off T,Right Foot,Normal,Open Play,"[83.0, 40.0]",Salem Mohammed Al Dawsari,0.0056771,Saudi Arabia
Saved,Right Foot,Normal,Free Kick,"[87.0, 42.0]",Luis Alberto Suárez Díaz,0.0199761,Uruguay
Off T,Head,Diving Header,Open Play,"[112.0, 47.0]",Carlos Andrés Sánchez Arcosa,0.119203,Uruguay
Blocked,Left Foot,Normal,Open Play,"[105.0, 59.0]",Luis Alberto Suárez Díaz,0.0279428,Uruguay
Off T,Head,Normal,Open Play,"[114.0, 43.0]",José Martín Cáceres Silva,0.130522,Uruguay
Blocked,Right Foot,Half Volley,Open Play,"[112.0, 34.0]",José Martín Cáceres Silva,0.0786409,Uruguay
Blocked,Right Foot,Normal,Open Play,"[92.0, 40.0]",Lucas Torreira Di Pascua,0.0214487,Uruguay
Off T,Head,Normal,Open Play,"[105.0, 45.0]",Edinson Roberto Cavani Gómez,0.0367147,Uruguay
Saved,Right Foot,Normal,Open Play,"[104.0, 41.0]",Edinson Roberto Cavani Gómez,0.305395,Uruguay
Wayward,Other,Half Volley,Open Play,"[102.0, 40.0]",Luis Alberto Suárez Díaz,0.0791856,Uruguay
Blocked,Left Foot,Normal,Open Play,"[94.0, 21.0]",Yasir Gharsan Al Shahrani,0.0167701,Saudi Arabia
Saved,Head,Normal,Open Play,"[111.0, 47.0]",Mohammed Kanoo,0.0342355,Saudi Arabia
Blocked,Right Foot,Normal,Open Play,"[98.0, 24.0]",Yasir Gharsan Al Shahrani,0.0257883,Saudi Arabia
Saved,Left Foot,Normal,Open Play,"[109.0, 27.0]",Ivan Perišić,0.0528064,Croatia
Blocked,Right Foot,Normal,Open Play,"[104.0, 41.0]",Maximiliano Eduardo Meza,0.0770846,Argentina
Blocked,Right Foot,Normal,Open Play,"[87.0, 35.0]",Marcelo Brozović,0.0113612,Croatia
Off T,Left Foot,Normal,Open Play,"[106.0, 33.0]",Enzo Nicolás Pérez,0.403066,Argentina
Off T,Head,Diving Header,Open Play,"[115.0, 34.0]",Mario Mandžukić,0.149308,Croatia
Off T,Right Foot,Normal,Open Play,"[99.0, 34.0]",Ante Rebić,0.0647417,Croatia
Blocked,Left Foot,Normal,Open Play,"[96.0, 28.0]",Marcos Javier Acuña,0.0321909,Argentina
Saved,Left Foot,Normal,Open Play,"[111.0, 29.0]",Sergio Leonel Agüero del Castillo,0.135489,Argentina
Goal,Right Foot,Volley,Open Play,"[108.0, 30.0]",Ante Rebić,0.258882,Croatia
Saved,Left Foot,Normal,Open Play,"[113.0, 34.0]",Maximiliano Eduardo Meza,0.239845,Argentina
Blocked,Left Foot,Normal,Open Play,"[117.0, 36.0]",Lionel Andrés Messi Cuccittini,0.225445,Argentina
Off T,Head,Normal,Open Play,"[109.0, 43.0]",Nicolás Hernán Otamendi,0.0387055,Argentina
Off T,Right Foot,Normal,Open Play,"[115.0, 49.0]",Mario Mandžukić,0.229528,Croatia
Off T,Left Foot,Normal,Open Play,"[107.0, 59.0]",Paulo Bruno Exequiel Dybala,0.0149661,Argentina
Blocked,Right Foot,Normal,Open Play,"[103.0, 24.0]",Ivan Rakitić,0.0392598,Croatia
Goal,Right Foot,Normal,Open Play,"[93.0, 45.0]",Luka Modrić,0.0366292,Croatia
Saved,Right Foot,Normal,Open Play,"[100.0, 27.0]",Gonzalo Gerardo Higuaín,0.0333676,Argentina
Post,Right Foot,Normal,Free Kick,"[89.0, 36.0]",Ivan Rakitić,0.0317867,Croatia
Off T,Head,Normal,Open Play,"[103.0, 34.0]",Mateo Kovačić,0.0417665,Croatia
Blocked,Left Foot,Normal,Open Play,"[99.0, 50.0]",Mario Mandžukić,0.0543971,Croatia
Off T,Right Foot,Normal,Open Play,"[87.0, 54.0]",Luka Modrić,0.0162226,Croatia
Blocked,Left Foot,Normal,Open Play,"[108.0, 31.0]",Maximiliano Eduardo Meza,0.0699889,Argentina
Saved,Right Foot,Normal,Open Play,"[98.0, 38.0]",Ivan Rakitić,0.115427,Croatia
Goal,Right Foot,Normal,Open Play,"[112.0, 40.0]",Ivan Rakitić,0.452025,Croatia
Blocked,Left Foot,Normal,Open Play,"[96.0, 43.0]",Édison Michael Flores Peralta,0.0281863,Peru
Off T,Left Foot,Normal,Open Play,"[62.0, 36.0]",Víctor Yoshimar Yotún Flores,0.0115283,Peru
Off T,Right Foot,Normal,Open Play,"[114.0, 54.0]",Antoine Griezmann,0.154045,France
Off T,Right Foot,Normal,Open Play,"[88.0, 54.0]",Paul Pogba,0.0110646,France
Off T,Head,Normal,Open Play,"[115.0, 34.0]",Raphaël Varane,0.0536261,France
Saved,Right Foot,Half Volley,Open Play,"[102.0, 51.0]",Antoine Griezmann,0.0259468,France
Off T,Left Foot,Normal,Open Play,"[97.0, 27.0]",Édison Michael Flores Peralta,0.0230203,Peru
Saved,Left Foot,Normal,Open Play,"[110.0, 33.0]",José Paolo Guerrero González,0.128775,Peru
Saved,Right Foot,Backheel,Open Play,"[112.0, 38.0]",Kylian Mbappé Lottin,0.333973,France
Blocked,Left Foot,Normal,Open Play,"[109.0, 29.0]",Olivier Giroud,0.155996,France
Goal,Right Foot,Volley,Open Play,"[119.0, 41.0]",Kylian Mbappé Lottin,0.883853,France
Saved,Left Foot,Normal,Open Play,"[109.0, 27.0]",Lucas Hernández Pi,0.063895,France
Off T,Left Foot,Volley,Open Play,"[112.0, 29.0]",Lucas Hernández Pi,0.087132,France
Post,Right Foot,Normal,Open Play,"[93.0, 39.0]",Pedro Jesús Aquino Sánchez,0.0435576,Peru
Blocked,Right Foot,Normal,Open Play,"[101.0, 30.0]",Christian Alberto Cueva Bravo,0.0513811,Peru
Off T,Right Foot,Normal,Open Play,"[94.0, 37.0]",André Martín Carrillo Díaz,0.0326553,Peru
Wayward,Head,Normal,Open Play,"[105.0, 40.0]",José Paolo Guerrero González,0.0308214,Peru
Off T,Left Foot,Normal,Open Play,"[98.0, 61.0]",Luis Jan Piers Advíncula Castrillón,0.019835,Peru
Off T,Left Foot,Volley,Open Play,"[116.0, 29.0]",Jefferson Agustín Farfán Guadalupe,0.054856,Peru
Off T,Left Foot,Half Volley,Open Play,"[105.0, 44.0]",Ousmane Dembélé,0.0585545,France
Saved,Right Foot,Normal,Free Kick,"[87.0, 43.0]",José Paolo Guerrero González,0.0341231,Peru
Off T,Left Foot,Volley,Open Play,"[97.0, 40.0]",Blaise Matuidi,0.0294754,France
Off T,Head,Normal,Open Play,"[107.0, 30.0]",José Paolo Guerrero González,0.0117757,Peru
Blocked,Left Foot,Normal,Open Play,"[106.0, 32.0]",Olivier Giroud,0.137549,France
Off T,Head,Normal,Open Play,"[114.0, 38.0]",Thomas Delaney,0.116885,Denmark
Blocked,Left Foot,Normal,Open Play,"[101.0, 53.0]",Tom Rogić,0.0265037,Australia
Off T,Head,Normal,Open Play,"[113.0, 42.0]",Mathew Leckie,0.101019,Australia
Goal,Left Foot,Normal,Open Play,"[104.0, 39.0]",Christian Dannemann Eriksen,0.10446,Denmark
Saved,Left Foot,Normal,Open Play,"[88.0, 38.0]",Pione Sisto Ifolo Emirmija,0.0113554,Denmark
Off T,Left Foot,Normal,Open Play,"[93.0, 33.0]",Tom Rogić,0.0223205,Australia
Off T,Head,Normal,Open Play,"[113.0, 42.0]",Nicolai Jørgensen,0.194955,Denmark
Blocked,Right Foot,Normal,Open Play,"[111.0, 44.0]",Robbie Kruse,0.0947316,Australia
Blocked,Left Foot,Volley,Open Play,"[92.0, 40.0]",Aaron Mooy,0.0242629,Australia
Blocked,Head,Normal,Open Play,"[110.0, 41.0]",Mathew Leckie,0.026605,Australia
Goal,Right Foot,Normal,Penalty,"[109.0, 41.0]",Mile Jedinak,0.76,Australia
Saved,Head,Normal,Open Play,"[108.0, 32.0]",Jens Stryger Larsen,0.0190806,Denmark
Blocked,Right Foot,Normal,Open Play,"[107.0, 40.0]",Pione Sisto Ifolo Emirmija,0.122259,Denmark
Off T,Right Foot,Normal,Open Play,"[94.0, 26.0]",Aaron Mooy,0.0232665,Australia
Saved,Left Foot,Normal,Open Play,"[94.0, 47.0]",Tom Rogić,0.0254194,Australia
Off T,Right Foot,Normal,Open Play,"[96.0, 27.0]",Pione Sisto Ifolo Emirmija,0.0225512,Denmark
Saved,Left Foot,Normal,Open Play,"[104.0, 59.0]",Mathew Leckie,0.0202088,Australia
Wayward,Other,Normal,Open Play,"[108.0, 42.0]",Mathew Leckie,0.0620511,Australia
Saved,Other,Normal,Open Play,"[106.0, 34.0]",Andreas Evald Cornelius,0.0705084,Denmark
Saved,Right Foot,Normal,Open Play,"[114.0, 24.0]",Daniel Arzani,0.0304498,Australia
Saved,Left Foot,Normal,Open Play,"[107.0, 37.0]",Mathew Leckie,0.065305,Australia
Off T,Right Foot,Volley,Open Play,"[97.0, 47.0]",Christian Dannemann Eriksen,0.0429034,Denmark
Saved,Left Foot,Normal,Open Play,"[105.0, 29.0]",Martin Braithwaite Christensen,0.0235549,Denmark
Off T,Right Foot,Normal,Open Play,"[98.0, 51.0]",Philippe Coutinho Correia,0.02288,Brazil
Off T,Right Foot,Normal,Open Play,"[88.0, 59.0]",Cristian Gamboa Luna,0.00646286,Costa Rica
Off T,Right Foot,Normal,Open Play,"[107.0, 48.0]",Celso Borges Mora,0.11071,Costa Rica
Blocked,Left Foot,Normal,Open Play,"[82.0, 27.0]",Bryan Oviedo,0.0125745,Costa Rica
Off T,Head,Normal,Open Play,"[106.0, 25.0]",Thiago Emiliano da Silva,0.0103758,Brazil
Blocked,Left Foot,Normal,Open Play,"[99.0, 22.0]",Marcelo Vieira da Silva Júnior,0.0230342,Brazil
Off T,Left Foot,Normal,Open Play,"[97.0, 20.0]",Marcelo Vieira da Silva Júnior,0.0148045,Brazil
Off T,Right Foot,Normal,Open Play,"[92.0, 23.0]",Philippe Coutinho Correia,0.0198562,Brazil
Off T,Left Foot,Normal,Open Play,"[100.0, 52.0]",Willian Borges da Silva,0.0474502,Brazil
Saved,Right Foot,Normal,Open Play,"[96.0, 23.0]",Marcelo Vieira da Silva Júnior,0.0207503,Brazil
Blocked,Right Foot,Volley,Open Play,"[117.0, 39.0]",Neymar da Silva Santos Junior,0.562023,Brazil
Post,Head,Normal,Open Play,"[112.0, 40.0]",Gabriel Fernando de Jesus,0.131878,Brazil
Blocked,Right Foot,Normal,Open Play,"[105.0, 41.0]",Philippe Coutinho Correia,0.0885833,Brazil
Saved,Right Foot,Normal,Open Play,"[110.0, 42.0]",Neymar da Silva Santos Junior,0.300448,Brazil
Saved,Right Foot,Normal,Open Play,"[103.0, 48.0]",Philippe Coutinho Correia,0.0951185,Brazil
Wayward,Right Foot,Volley,Open Play,"[104.0, 40.0]",Óscar Esau Duarte Gaitán,0.0403441,Costa Rica
Blocked,Right Foot,Normal,Open Play,"[108.0, 31.0]",Gabriel Fernando de Jesus,0.0571479,Brazil
Saved,Left Foot,Normal,Open Play,"[100.0, 24.0]",Neymar da Silva Santos Junior,0.0295306,Brazil
Wayward,Head,Diving Header,Open Play,"[111.0, 44.0]",Thiago Emiliano da Silva,0.0482071,Brazil
Saved,Head,Normal,Open Play,"[112.0, 41.0]",Carlos Henrique Casimiro,0.0348092,Brazil
Off T,Right Foot,Normal,Open Play,"[98.0, 38.0]",Neymar da Silva Santos Junior,0.177617,Brazil
